i1,i2,i3
161,140,84
161,140,98
163,142,85
163,142,99
165,141,86
165,141,102
167,143,87
167,143,103
172,169,114
172,169,116
174,171,115
174,171,117
177,156,92
177,156,106
179,158,93
179,158,107
181,157,94
181,157,110
183,159,95
183,159,111
188,185,122
188,185,124
190,187,123
190,187,125
266,161,84
266,161,98
267,165,86
267,165,102
270,163,85
270,163,99
271,167,87
271,167,103
273,140,84
273,140,98
273,266,84
273,266,98
275,141,86
275,141,102
275,267,86
275,267,102
277,142,85
277,142,99
277,270,85
277,270,99
279,143,87
279,143,103
279,271,87
279,271,103
281,172,114
281,172,116
282,169,114
282,169,116
282,281,114
282,281,116
285,174,115
285,174,117
286,171,115
286,171,117
286,285,115
286,285,117
298,177,92
298,177,106
299,181,94
299,181,110
302,179,93
302,179,107
303,183,95
303,183,111
305,156,92
305,156,106
305,298,92
305,298,106
307,157,94
307,157,110
307,299,94
307,299,110
309,158,93
309,158,107
309,302,93
309,302,107
311,159,95
311,159,111
311,303,95
311,303,111
313,188,122
313,188,124
314,185,122
314,185,124
314,313,122
314,313,124
317,190,123
317,190,125
318,187,123
318,187,125
318,317,123
318,317,125
394,226,225
394,337,226
394,340,225
394,340,337
395,230,229
395,339,230
395,342,229
395,342,339
396,226,225
396,337,226
396,340,225
396,340,337
397,230,229
397,339,230
397,342,229
397,342,339
401,212,204
401,330,212
401,354,204
401,354,330
403,214,205
403,331,214
403,358,205
403,358,331
405,213,206
405,334,213
405,355,206
405,355,334
407,215,207
407,335,215
407,359,207
407,359,335
409,244,236
409,346,244
409,370,236
409,370,346
410,242,233
410,345,242
410,372,233
410,372,345
412,241,234
412,348,241
412,369,234
412,369,348
415,247,239
415,351,247
415,375,239
415,375,351
417,212,204
417,330,212
417,354,204
417,354,330
419,213,206
419,334,213
419,355,206
419,355,334
421,214,205
421,331,214
421,358,205
421,358,331
423,215,207
423,335,215
423,359,207
423,359,335
425,244,236
425,346,244
425,370,236
425,370,346
426,241,234
426,348,241
426,369,234
426,369,348
428,242,233
428,345,242
428,372,233
428,372,345
431,247,239
431,351,247
431,375,239
431,375,351
442,250,249
442,377,250
442,380,249
442,380,377
443,254,253
443,379,254
443,382,253
443,382,379
444,250,249
444,377,250
444,380,249
444,380,377
445,254,253
445,379,254
445,382,253
445,382,379
468,465,458
468,465,460
470,467,459
470,467,461
481,468,458
481,468,460
482,465,458
482,465,460
482,481,458
482,481,460
485,470,459
485,470,461
486,467,459
486,467,461
486,485,459
486,485,461
498,474,473
498,489,474
498,492,473
498,492,489
499,478,477
499,491,478
499,494,477
499,494,491
